complex_name,ligand_description,protein_path,protein_sequence
complex_0,O=[N+]([O-])c1ccc(C[N@H+]2CC[N@H+](C[C@@H]3CC=CCC3)CC2)cc1,../1ppb.pdb,
complex_1,CN1CCc2cc(C[NH2+][C@H]3CCCO[C@@H]3c3ccncc3)ccc21,../1ppb.pdb,
complex_2,O=C1N/C(=[NH+]/c2ccc(O)cc2)S/C1=C\c1ccc(O)cc1,../1ppb.pdb,
complex_3,O=[N+]([O-])c1ccccc1C[N@H+]1CC[N@H+](C2CCCCCC2)CC1,../1ppb.pdb,
complex_4,CC[C@H](C[C@H](C)CO)Nc1ccc([N+](=O)[O-])c2cccnc12,../1ppb.pdb,
complex_5,Oc1ccc(OC[C@H]2C[NH2+]CC[C@@H]2c2ccc(F)cc2)cc1O,../1ppb.pdb,
complex_6,O=[N+]([O-])c1cc/c(=N/CCO[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[nH]c1,../1ppb.pdb,
complex_7,Nc1ccc(OCCCCCNC(=O)c2cccs2)cc1,../1ppb.pdb,
complex_8,O=[N+]([O-])c1cc/c(=N/Cc2cccnc2OC2CCCC2)[nH]c1,../1ppb.pdb,
complex_9,Nc1ccc(OCCCCCN2C(=O)c3ccccc3C2=O)cc1,../1ppb.pdb,
complex_10,O=[N+]([O-])c1ccc(Nc2cccc(OC[C@@H]3CCCO3)c2)nc1,../1ppb.pdb,
complex_11,CCN(CC)c1ccc(CNC(=[NH2+])N2CCC(C)CC2)cc1,../1ppb.pdb,
complex_12,Nc1ccc(CC(=O)N2CCC[C@@H]2Cc2cccc(F)c2)cc1,../1ppb.pdb,
complex_13,C[C@H]1CCC[C@H]([N@H+]2CC[N@H+](Cc3ccccc3[N+](=O)[O-])CC2)C1,../1ppb.pdb,
complex_14,Cc1cc(NC(=O)NCc2ccc(N3CCCCC3)cc2)no1,../1ppb.pdb,
complex_15,O=C(OCc1ccc([N+](=O)[O-])cc1)[C@H]1C[C@H]2CCC[C@@H](C1)C2=O,../1ppb.pdb,
complex_16,O=[N+]([O-])c1cc(C(F)(F)F)ccc1N[C@H]1CC[C@H](O)CC1,../1ppb.pdb,
complex_17,Clc1cncc(N2CC=C(c3cnc4[nH]cccc3-4)CC2)n1,../1ppb.pdb,
complex_18,O=[N+]([O-])c1ccc(N2CCC[C@H]2c2[nH]c3ccccc3[nH+]2)nc1,../1ppb.pdb,
complex_19,CC(=O)c1ccc(OC[C@H](O)C2CCCCC2)c([N+](=O)[O-])c1,../1ppb.pdb,
complex_20,C[C@H]1CCCN(C2=[NH+]C(=O)/C(=C/c3cccc(O)c3)S2)C1,../1ppb.pdb,
complex_21,O=C(N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3)c1cccc([N+](=O)[O-])c1,../1ppb.pdb,
complex_22,O=C1N/C(=[NH+]/C2CCCC2)S/C1=C\c1ccc([N+](=O)[O-])cc1,../1ppb.pdb,
complex_23,O=C(Nc1cn[nH]c1)N(Cc1ccccc1O)C1CCCCC1,../1ppb.pdb,
complex_24,O=[N+]([O-])c1cc/c(=N\c2cccc(OC[C@H]3CCCO3)c2)[nH]c1,../1ppb.pdb,
complex_25,O=C1c2cccc([N+](=O)[O-])c2C(=O)N1C1CCCCCCC1,../1ppb.pdb,
complex_26,C=C(O)[C@H]1C(=O)C(=O)N(C2CCCCC2)[C@@H]1c1ccc(F)cc1,../1ppb.pdb,
complex_27,Nc1ccc(OCCCCCC(=O)Oc2ccc(N)cc2)cc1,../1ppb.pdb,
complex_28,O=C1[C@H]2CCC[C@@H]1[C@H](c1ccccc1O)[NH2+][C@@H]2c1ccccc1O,../1ppb.pdb,
complex_29,C=C(O)C1=C(O)C(=O)N(C2CCCCC2)[C@@H]1c1ccc(F)cc1,../1ppb.pdb,
complex_30,CN(Cc1ccccc1O)C(=O)Nc1cnc(C(C)(C)C)nc1,../1ppb.pdb,
